sku,categories
/,"cat_3,cat_11,cat_14,cat_21,cat_2224,cat_8"
001,cat_3
01,cat_3
02,cat_3
03,cat_3
04,cat_3
1,cat_2172
10,"cat_3,cat_11,cat_14,cat_8"
100,"cat_3,cat_11,cat_148,cat_158,cat_14,cat_152,cat_160,cat_8,cat_150,cat_159"
1000,"cat_3,cat_11"
1001,"cat_3,cat_11"
1002,cat_2172
1003,cat_2172
1004,cat_2172
1005,cat_2172
1005909,"cat_2374,cat_3,cat_40,cat_773,cat_8,cat_38"
1006,cat_2172
1007,cat_2172
1008,cat_2172
1009,cat_2172
101,"cat_3,cat_11,cat_82,cat_8,cat_27"
1010,cat_2172
1011,cat_2172
1012,cat_2172
1013,cat_2172
1014,"cat_3,cat_11,cat_115,cat_1345"
1015,"cat_3,cat_11,cat_115,cat_1345"
1016,"cat_3,cat_11,cat_115,cat_1345"
1017,"cat_3,cat_11,cat_115,cat_1345"
1018,"cat_2374,cat_3,cat_11,cat_45,cat_1345,cat_1348,cat_14,cat_47,cat_40,cat_773,cat_8,cat_38"
1019,"cat_2374,cat_3,cat_11,cat_45,cat_1345,cat_1348,cat_14,cat_47,cat_40,cat_773,cat_8,cat_38"
102,"cat_2374,cat_3,cat_21,cat_29,cat_30,cat_2224,cat_8,cat_27,cat_28"
1020,"cat_2374,cat_3,cat_11,cat_45,cat_1345,cat_1348,cat_14,cat_47,cat_40,cat_773,cat_8,cat_38"
1021,"cat_2374,cat_3,cat_11,cat_45,cat_1345,cat_1348,cat_14,cat_47,cat_40,cat_773,cat_8,cat_38"
1022,"cat_2374,cat_3,cat_11,cat_45,cat_1345,cat_1348,cat_14,cat_47,cat_40,cat_773,cat_8,cat_38"
1023,"cat_2374,cat_3,cat_11,cat_45,cat_1345,cat_1348,cat_14,cat_47,cat_40,cat_773,cat_8,cat_38"
1024,"cat_2374,cat_3,cat_11,cat_45,cat_1345,cat_1348,cat_14,cat_47,cat_40,cat_773,cat_8,cat_38"
1025,"cat_2374,cat_3,cat_11,cat_45,cat_1345,cat_1348,cat_14,cat_47,cat_40,cat_773,cat_8,cat_38"
1026,"cat_2374,cat_3,cat_11,cat_115,cat_1345,cat_14,cat_21,cat_2224,cat_8"
1027,"cat_2374,cat_3,cat_11,cat_45,cat_115,cat_14,cat_47,cat_21,cat_40,cat_2224,cat_773"
1028,"cat_2374,cat_3,cat_11,cat_45,cat_115,cat_14,cat_47,cat_21,cat_40,cat_2224,cat_773"
1029,"cat_3,cat_11,cat_285,cat_115,cat_283,cat_279,cat_8,cat_281"
102909,"cat_3,cat_11,cat_8"
1030,"cat_3,cat_11,cat_285,cat_115,cat_283,cat_279,cat_8,cat_281"
